profile_id,userkey,username,display_name,avatar_url,description,score,streak_days,total_xp,is_validator,season_0_xp,season_1_xp,season_0_weeks,season_1_weeks,status,userkeys_count,eth_addresses,created_at,last_updated
1,1,ethos_network,Ethos,https://pbs.twimg.com/profile_images/1797826077194096640/d_YEoB8n.jpg,,2240,0,6006699,true,0,0,0,0,ACTIVE,3,1,2025-09-18T13:04:10.492Z,2025-09-18T13:04:10.493Z
2,2,porkbus,"porkbus (🐖, 🚌)",https://pbs.twimg.com/profile_images/1963288313244389377/Ya3g2Qy-.jpg,,2178,239,6759416,true,4541486,2217930,1,14,ACTIVE,6,3,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
3,3,0xWorkhorse,ian.btc | workhorse 🧙‍♂️,https://pbs.twimg.com/profile_images/1956155041493958659/d358oKJm.jpg,,1590,73,892716,true,815497,77219,1,14,ACTIVE,7,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
5,5,yukokosaka,colorblock,https://pbs.twimg.com/profile_images/1963964150729539584/1xKAyQLV.jpg,,2193,96,3394180,true,2322303,1071877,1,14,ACTIVE,7,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
6,6,BlueChilliZero,BlueChilliZero,https://pbs.twimg.com/profile_images/1922753130673864704/nTSOr3n5.jpg,,1716,9,492813,true,392347,100466,1,14,ACTIVE,5,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
7,7,adipilla8708,DipStar.eth,https://pbs.twimg.com/profile_images/1950000466026233856/ZxT0MP6g.jpg,,1636,0,589033,true,455089,133944,1,14,ACTIVE,5,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
8,8,serpinxbt,Serpin Taxt,https://pbs.twimg.com/profile_images/1931470557800701952/S2sOJq5E.jpg,,2560,66,12831969,true,0,0,0,0,ACTIVE,11,6,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
9,9,0xak_,ak,https://pbs.twimg.com/profile_images/1905740871909400576/Xp9Dzf84.jpg,,2226,0,4190109,true,2617379,1572730,1,14,ACTIVE,7,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
10,10,zetaonchain,zeta,https://pbs.twimg.com/profile_images/1330879164698783744/h2D2JJJl.jpg,,1757,76,1427907,true,661098,766809,1,14,ACTIVE,5,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
13,13,fillip_g,FillipGumbottom,https://pbs.twimg.com/profile_images/1922455858862055424/37Scm0Dc.jpg,,1892,0,1447670,true,959949,487721,1,14,ACTIVE,5,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
15,15,buz_eth,buz,https://pbs.twimg.com/profile_images/1930553588297629696/01_8nRBg.jpg,,1902,127,1828636,true,922211,906425,1,14,ACTIVE,8,3,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
17,17,eskacie,sketch,https://pbs.twimg.com/profile_images/1963243355426463744/NWwcxwG_.jpg,,2288,179,11608692,true,6262815,5345877,1,14,ACTIVE,7,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
18,18,kc_6666,kc ⌐◨-◨,https://pbs.twimg.com/profile_images/1632189256465629187/SozeyW7d.jpg,,1408,0,379730,false,379730,0,1,14,ACTIVE,5,2,2025-09-18T13:04:10.493Z,2025-09-18T13:04:10.493Z
