profile_id,season_id,week,weekly_xp,cumulative_xp,created_at
145,0,0,871811,871811,2025-09-27T05:09:28.754Z
145,1,0,170310,170310,2025-09-27T05:09:28.754Z
145,1,1,64241,234551,2025-09-27T05:09:28.754Z
145,1,2,102308,336859,2025-09-27T05:09:28.754Z
145,1,3,53324,390183,2025-09-27T05:09:28.754Z
145,1,4,50671,440854,2025-09-27T05:09:28.754Z
145,1,5,55261,496115,2025-09-27T05:09:28.754Z
145,1,6,24364,520479,2025-09-27T05:09:28.754Z
145,1,7,0,520479,2025-09-27T05:09:28.754Z
145,1,8,38186,558665,2025-09-27T05:09:28.754Z
145,1,9,47609,606274,2025-09-27T05:09:28.754Z
145,1,10,30358,636632,2025-09-27T05:09:28.754Z
145,1,11,0,636632,2025-09-27T05:09:28.754Z
145,1,12,67380,704012,2025-09-27T05:09:28.754Z
145,1,13,0,704012,2025-09-27T05:09:28.754Z
145,1,14,42090,746102,2025-09-27T05:09:28.754Z
145,1,15,0,746102,2025-09-27T05:09:28.754Z
19,0,0,429941,429941,2025-09-27T05:09:28.764Z
19,1,0,112082,112082,2025-09-27T05:09:28.764Z
19,1,1,52545,164627,2025-09-27T05:09:28.764Z
19,1,2,52482,217109,2025-09-27T05:09:28.764Z
19,1,3,28314,245423,2025-09-27T05:09:28.764Z
19,1,4,32927,278350,2025-09-27T05:09:28.764Z
19,1,5,27591,305941,2025-09-27T05:09:28.764Z
19,1,6,0,305941,2025-09-27T05:09:28.764Z
19,1,7,0,305941,2025-09-27T05:09:28.764Z
19,1,8,20647,326588,2025-09-27T05:09:28.764Z
19,1,9,0,326588,2025-09-27T05:09:28.764Z
19,1,10,17758,344346,2025-09-27T05:09:28.764Z
19,1,11,24591,368937,2025-09-27T05:09:28.764Z
19,1,12,0,368937,2025-09-27T05:09:28.764Z
19,1,13,44447,413384,2025-09-27T05:09:28.764Z
19,1,14,0,413384,2025-09-27T05:09:28.764Z
19,1,15,39440,452824,2025-09-27T05:09:28.764Z
10,0,0,661098,661098,2025-09-27T05:09:28.764Z
10,1,0,267908,267908,2025-09-27T05:09:28.764Z
10,1,1,47923,315831,2025-09-27T05:09:28.764Z
10,1,2,87627,403458,2025-09-27T05:09:28.764Z
10,1,3,53016,456474,2025-09-27T05:09:28.764Z
10,1,4,38117,494591,2025-09-27T05:09:28.764Z
10,1,5,31313,525904,2025-09-27T05:09:28.764Z
10,1,6,11635,537539,2025-09-27T05:09:28.764Z
10,1,7,19623,557162,2025-09-27T05:09:28.764Z
10,1,8,20819,577981,2025-09-27T05:09:28.764Z
10,1,9,18734,596715,2025-09-27T05:09:28.764Z
10,1,10,17382,614097,2025-09-27T05:09:28.764Z
10,1,11,43257,657354,2025-09-27T05:09:28.764Z
10,1,12,80373,737727,2025-09-27T05:09:28.764Z
10,1,13,29082,766809,2025-09-27T05:09:28.764Z
10,1,14,33982,800791,2025-09-27T05:09:28.764Z
10,1,15,24326,825117,2025-09-27T05:09:28.764Z
37,0,0,4625,4625,2025-09-27T05:09:28.765Z
37,1,0,0,0,2025-09-27T05:09:28.765Z
37,1,1,0,0,2025-09-27T05:09:28.765Z
37,1,2,0,0,2025-09-27T05:09:28.765Z
37,1,3,0,0,2025-09-27T05:09:28.765Z
37,1,4,0,0,2025-09-27T05:09:28.765Z
37,1,5,0,0,2025-09-27T05:09:28.765Z
37,1,6,0,0,2025-09-27T05:09:28.765Z
37,1,7,0,0,2025-09-27T05:09:28.765Z
37,1,8,0,0,2025-09-27T05:09:28.765Z
37,1,9,0,0,2025-09-27T05:09:28.765Z
37,1,10,0,0,2025-09-27T05:09:28.765Z
37,1,11,0,0,2025-09-27T05:09:28.765Z
37,1,12,0,0,2025-09-27T05:09:28.765Z
37,1,13,0,0,2025-09-27T05:09:28.765Z
37,1,14,0,0,2025-09-27T05:09:28.765Z
37,1,15,0,0,2025-09-27T05:09:28.765Z
21,0,0,61750,61750,2025-09-27T05:09:28.765Z
21,1,0,3235,3235,2025-09-27T05:09:28.765Z
21,1,1,791,4026,2025-09-27T05:09:28.765Z
21,1,2,193,4219,2025-09-27T05:09:28.765Z
21,1,3,0,4219,2025-09-27T05:09:28.765Z
21,1,4,141,4360,2025-09-27T05:09:28.765Z
21,1,5,0,4360,2025-09-27T05:09:28.765Z
21,1,6,0,4360,2025-09-27T05:09:28.765Z
21,1,7,0,4360,2025-09-27T05:09:28.765Z
21,1,8,0,4360,2025-09-27T05:09:28.765Z
21,1,9,0,4360,2025-09-27T05:09:28.765Z
21,1,10,0,4360,2025-09-27T05:09:28.765Z
21,1,11,0,4360,2025-09-27T05:09:28.765Z
21,1,12,0,4360,2025-09-27T05:09:28.765Z
21,1,13,2163,6523,2025-09-27T05:09:28.765Z
21,1,14,618,7141,2025-09-27T05:09:28.765Z
21,1,15,609,7750,2025-09-27T05:09:28.765Z
5,0,0,2322303,2322303,2025-09-27T05:09:28.778Z
5,1,0,214340,214340,2025-09-27T05:09:28.778Z
5,1,1,74260,288600,2025-09-27T05:09:28.778Z
5,1,2,116851,405451,2025-09-27T05:09:28.778Z
5,1,3,65910,471361,2025-09-27T05:09:28.778Z
5,1,4,66905,538266,2025-09-27T05:09:28.778Z
5,1,5,74768,613034,2025-09-27T05:09:28.778Z
5,1,6,39008,652042,2025-09-27T05:09:28.778Z
5,1,7,61961,714003,2025-09-27T05:09:28.778Z
5,1,8,53601,767604,2025-09-27T05:09:28.778Z
5,1,9,58554,826158,2025-09-27T05:09:28.778Z
5,1,10,40725,866883,2025-09-27T05:09:28.778Z
5,1,11,66782,933665,2025-09-27T05:09:28.778Z
5,1,12,85237,1018902,2025-09-27T05:09:28.778Z
5,1,13,52975,1071877,2025-09-27T05:09:28.778Z
5,1,14,43481,1115358,2025-09-27T05:09:28.778Z
5,1,15,48703,1164061,2025-09-27T05:09:28.778Z
6,0,0,392347,392347,2025-09-27T05:09:28.778Z
6,1,0,81795,81795,2025-09-27T05:09:28.778Z
6,1,1,0,81795,2025-09-27T05:09:28.778Z
6,1,2,0,81795,2025-09-27T05:09:28.778Z
6,1,3,0,81795,2025-09-27T05:09:28.778Z
6,1,4,0,81795,2025-09-27T05:09:28.778Z
6,1,5,0,81795,2025-09-27T05:09:28.778Z
6,1,6,0,81795,2025-09-27T05:09:28.778Z
6,1,7,0,81795,2025-09-27T05:09:28.778Z
6,1,8,0,81795,2025-09-27T05:09:28.778Z
6,1,9,0,81795,2025-09-27T05:09:28.778Z
6,1,10,0,81795,2025-09-27T05:09:28.778Z
6,1,11,0,81795,2025-09-27T05:09:28.778Z
6,1,12,0,81795,2025-09-27T05:09:28.778Z
6,1,13,18671,100466,2025-09-27T05:09:28.778Z
6,1,14,18921,119387,2025-09-27T05:09:28.778Z
6,1,15,0,119387,2025-09-27T05:09:28.778Z
3,0,0,815497,815497,2025-09-27T05:09:28.785Z
3,1,0,2545,2545,2025-09-27T05:09:28.785Z
3,1,1,2274,4819,2025-09-27T05:09:28.785Z
3,1,2,1189,6008,2025-09-27T05:09:28.785Z
3,1,3,2350,8358,2025-09-27T05:09:28.785Z
3,1,4,2165,10523,2025-09-27T05:09:28.785Z
3,1,5,2675,13198,2025-09-27T05:09:28.785Z
3,1,6,1512,14710,2025-09-27T05:09:28.785Z
3,1,7,2686,17396,2025-09-27T05:09:28.785Z
3,1,8,2074,19470,2025-09-27T05:09:28.785Z
3,1,9,2662,22132,2025-09-27T05:09:28.785Z
3,1,10,11181,33313,2025-09-27T05:09:28.785Z
3,1,11,9447,42760,2025-09-27T05:09:28.785Z
3,1,12,22069,64829,2025-09-27T05:09:28.785Z
3,1,13,12390,77219,2025-09-27T05:09:28.785Z
3,1,14,12292,89511,2025-09-27T05:09:28.785Z
3,1,15,12090,101601,2025-09-27T05:09:28.785Z
52,0,0,750578,750578,2025-09-27T05:09:28.789Z
52,1,0,84459,84459,2025-09-27T05:09:28.789Z
52,1,1,32929,117388,2025-09-27T05:09:28.789Z
52,1,2,42893,160281,2025-09-27T05:09:28.789Z
52,1,3,26440,186721,2025-09-27T05:09:28.789Z
52,1,4,22947,209668,2025-09-27T05:09:28.789Z
52,1,5,24952,234620,2025-09-27T05:09:28.789Z
52,1,6,12949,247569,2025-09-27T05:09:28.789Z
52,1,7,16052,263621,2025-09-27T05:09:28.789Z
52,1,8,19031,282652,2025-09-27T05:09:28.789Z
52,1,9,61828,344480,2025-09-27T05:09:28.789Z
52,1,10,18882,363362,2025-09-27T05:09:28.789Z
52,1,11,14971,378333,2025-09-27T05:09:28.789Z
52,1,12,35996,414329,2025-09-27T05:09:28.789Z
52,1,13,0,414329,2025-09-27T05:09:28.789Z
52,1,14,0,414329,2025-09-27T05:09:28.789Z
52,1,15,0,414329,2025-09-27T05:09:28.789Z
18,0,0,379730,379730,2025-09-27T05:09:28.789Z
18,1,0,0,0,2025-09-27T05:09:28.789Z
18,1,1,0,0,2025-09-27T05:09:28.789Z
18,1,2,0,0,2025-09-27T05:09:28.789Z
18,1,3,0,0,2025-09-27T05:09:28.789Z
18,1,4,0,0,2025-09-27T05:09:28.789Z
18,1,5,0,0,2025-09-27T05:09:28.789Z
18,1,6,0,0,2025-09-27T05:09:28.789Z
18,1,7,0,0,2025-09-27T05:09:28.789Z
18,1,8,0,0,2025-09-27T05:09:28.789Z
18,1,9,0,0,2025-09-27T05:09:28.789Z
18,1,10,0,0,2025-09-27T05:09:28.789Z
18,1,11,0,0,2025-09-27T05:09:28.789Z
18,1,12,0,0,2025-09-27T05:09:28.789Z
18,1,13,0,0,2025-09-27T05:09:28.789Z
18,1,14,0,0,2025-09-27T05:09:28.789Z
18,1,15,0,0,2025-09-27T05:09:28.789Z
48,0,0,110415,110415,2025-09-27T05:09:28.794Z
48,1,0,0,0,2025-09-27T05:09:28.794Z
48,1,1,0,0,2025-09-27T05:09:28.794Z
48,1,2,0,0,2025-09-27T05:09:28.794Z
48,1,3,0,0,2025-09-27T05:09:28.794Z
48,1,4,0,0,2025-09-27T05:09:28.794Z
48,1,5,0,0,2025-09-27T05:09:28.794Z
48,1,6,0,0,2025-09-27T05:09:28.794Z
48,1,7,0,0,2025-09-27T05:09:28.794Z
48,1,8,0,0,2025-09-27T05:09:28.794Z
48,1,9,0,0,2025-09-27T05:09:28.794Z
48,1,10,0,0,2025-09-27T05:09:28.794Z
48,1,11,0,0,2025-09-27T05:09:28.794Z
48,1,12,0,0,2025-09-27T05:09:28.794Z
48,1,13,0,0,2025-09-27T05:09:28.794Z
48,1,14,0,0,2025-09-27T05:09:28.794Z
48,1,15,0,0,2025-09-27T05:09:28.794Z
24,0,0,647225,647225,2025-09-27T05:09:28.794Z
24,1,0,122998,122998,2025-09-27T05:09:28.794Z
24,1,1,0,122998,2025-09-27T05:09:28.794Z
24,1,2,0,122998,2025-09-27T05:09:28.794Z
