season,week,start_date,end_date
0,0,2025-01-01,2025-01-07
0,1,2025-01-08,2025-01-14
0,2,2025-01-15,2025-01-21
0,3,2025-01-22,2025-01-28
0,4,2025-01-29,2025-02-04
0,5,2025-02-05,2025-02-11
0,6,2025-02-12,2025-02-18
0,7,2025-02-19,2025-02-25
0,8,2025-02-26,2025-03-04
0,9,2025-03-05,2025-03-11
0,10,2025-03-12,2025-03-18
0,11,2025-03-19,2025-03-25
0,12,2025-03-26,2025-04-01
0,13,2025-04-02,2025-04-08
0,14,2025-04-09,2025-04-15
0,15,2025-04-16,2025-04-22
0,16,2025-04-23,2025-04-29
0,17,2025-04-30,2025-05-06
0,18,2025-05-07,2025-05-13
1,0,2025-05-14,2025-05-20
1,1,2025-05-21,2025-05-27
1,2,2025-05-28,2025-06-03
1,3,2025-06-04,2025-06-10
1,4,2025-06-11,2025-06-17
1,5,2025-06-18,2025-06-24
1,6,2025-06-25,2025-07-01
1,7,2025-07-02,2025-07-08
1,8,2025-07-09,2025-07-15
1,9,2025-07-16,2025-07-22
1,10,2025-07-23,2025-07-29
1,11,2025-07-30,2025-08-05
1,12,2025-08-06,2025-08-12
1,13,2025-08-13,2025-08-19
