"profile_id","username","display_name","avatar_url","description","score","streak_days","total_xp","season_1_xp","status","userkeys_count","eth_addresses","rank"
"8","serpinxbt","Serpin Taxt","https://pbs.twimg.com/profile_images/1931470557800701952/S2sOJq5E.jpg",,"2561","68","13069830","0","ACTIVE","11","6","1"
"298","dragossden","dragos","https://pbs.twimg.com/profile_images/1950697049021685762/K3QtZbzt.jpg",,"2260","0","12245593","0","ACTIVE","5","2","2"
"17","eskacie","sketch","https://pbs.twimg.com/profile_images/1963243355426463744/NWwcxwG_.jpg",,"2288","181","11796562","0","ACTIVE","7","2","3"
"2527","RaAr3s","RaAr?s ??","https://pbs.twimg.com/profile_images/1944716390566338561/SkeGuWj5.jpg",,"2222","0","7716938","0","ACTIVE","5","2","4"
"2","porkbus","porkbus (??, ??)","https://pbs.twimg.com/profile_images/1963288313244389377/Ya3g2Qy-.jpg",,"2179","242","6851973","0","ACTIVE","6","3","5"
"6680","0xJohannes_","Johannes (4, 4)","https://pbs.twimg.com/profile_images/1742628395777703936/l7ZAK6rG.jpg",,"2078","160","6208367","0","ACTIVE","7","2","6"
"1","ethos_network","Ethos","https://pbs.twimg.com/profile_images/1797826077194096640/d_YEoB8n.jpg",,"2241","0","6015500","0","ACTIVE","3","1","7"
"2116","0xAbhiP","Abhi","https://pbs.twimg.com/profile_images/1862162587976445952/30wBtaB0.jpg",,"2389","63","5058050","0","ACTIVE","5","2","8"
"9","0xak_","ak","https://pbs.twimg.com/profile_images/1905740871909400576/Xp9Dzf84.jpg",,"2226","0","4274280","0","ACTIVE","7","2","9"
"3064","irmelvin","Melvin","https://pbs.twimg.com/profile_images/1701795688122834944/OJlN3wD8.jpg",,"2194","7","4249484","0","ACTIVE","5","2","10"
"3029","SanjayWeb3","Sanjay","https://pbs.twimg.com/profile_images/1808961844045910016/145Ib6Vs.jpg",,"2323","0","4023509","0","ACTIVE","6","2","11"
"1557","CrypSaf","SafZ","https://pbs.twimg.com/profile_images/1683213602013036544/GuQn2-Ig.jpg",,"2399","3","3964847","0","ACTIVE","6","2","12"
"124","quadwitch","quadwitch","https://pbs.twimg.com/profile_images/1958913025525600256/l7rsTRs4.jpg",,"1932","0","3694575","0","ACTIVE","7","2","13"
"646","DeanoXBT","Deano (bas tard io)","https://pbs.twimg.com/profile_images/1928279113627795456/1VIESYGd.jpg",,"1903","0","3493371","0","ACTIVE","4","2","14"
