"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"298","dragossden","dragos","https://pbs.twimg.com/profile_images/1950697049021685762/K3QtZbzt.jpg","12245593","0",,"12245593","8230993","1"
"17","eskacie","sketch","https://pbs.twimg.com/profile_images/1963243355426463744/NWwcxwG_.jpg","11796562","0",,"11796562","6262815","2"
"6680","0xJohannes_","Johannes (4, 4)","https://pbs.twimg.com/profile_images/1742628395777703936/l7ZAK6rG.jpg","6208367","0",,"6208367","6136056","3"
"2527","RaAr3s","RaAr?s ??","https://pbs.twimg.com/profile_images/1944716390566338561/SkeGuWj5.jpg","7716938","0",,"7716938","5900491","4"
"2","porkbus","porkbus (??, ??)","https://pbs.twimg.com/profile_images/1963288313244389377/Ya3g2Qy-.jpg","6851973","0",,"6851973","4541486","5"
"2116","0xAbhiP","Abhi","https://pbs.twimg.com/profile_images/1862162587976445952/30wBtaB0.jpg","5058050","0",,"5058050","3333673","6"
"1557","CrypSaf","SafZ","https://pbs.twimg.com/profile_images/1683213602013036544/GuQn2-Ig.jpg","3964847","0",,"3964847","2951812","7"
"3029","SanjayWeb3","Sanjay","https://pbs.twimg.com/profile_images/1808961844045910016/145Ib6Vs.jpg","4023509","0",,"4023509","2730033","8"
"9","0xak_","ak","https://pbs.twimg.com/profile_images/1905740871909400576/Xp9Dzf84.jpg","4274280","0",,"4274280","2617379","9"
"646","DeanoXBT","Deano (bas tard io)","https://pbs.twimg.com/profile_images/1928279113627795456/1VIESYGd.jpg","3493371","0",,"3493371","2540444","10"
"124","quadwitch","quadwitch","https://pbs.twimg.com/profile_images/1958913025525600256/l7rsTRs4.jpg","3694575","0",,"3694575","2497783","11"
"11813","0xGeeGee","0xGeeGee","https://pbs.twimg.com/profile_images/1740692351192879104/BGQ3LNVS.jpg","2409635","0",,"2409635","2409635","12"
"5","yukokosaka","colorblock","https://pbs.twimg.com/profile_images/1969075284671426560/L51FxplT.jpg","3437661","0",,"3437661","2322303","13"
