"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"298","dragossden","dragos","https://pbs.twimg.com/profile_images/1950697049021685762/K3QtZbzt.jpg","12245593","1","13","243019","7914797","1"
"17","eskacie","sketch","https://pbs.twimg.com/profile_images/1963243355426463744/NWwcxwG_.jpg","11796562","1","13","188222","5345877","2"
"6680","0xJohannes_","Johannes (4, 4)","https://pbs.twimg.com/profile_images/1742628395777703936/l7ZAK6rG.jpg","6208367","1","13","174130","6001940","3"
"124","quadwitch","quadwitch","https://pbs.twimg.com/profile_images/1958913025525600256/l7rsTRs4.jpg","3694575","1","13","154093","2358421","4"
"11813","0xGeeGee","0xGeeGee","https://pbs.twimg.com/profile_images/1740692351192879104/BGQ3LNVS.jpg","2409635","1","13","153245","2319763","5"
"18989","MrNeverPullsOut","Mr.NeverPullsOut","https://pbs.twimg.com/profile_images/1946962074048798720/GnMFEoku.jpg","1344479","1","13","102438","1262097","6"
"2","porkbus","porkbus (??, ??)","https://pbs.twimg.com/profile_images/1963288313244389377/Ya3g2Qy-.jpg","6851973","1","13","92063","2217930","7"
"2357","cnig69","cnig","https://pbs.twimg.com/profile_images/1904723577322213376/RFbvYokC.jpg","454951","1","13","87538","454951","8"
"1150","peceka","Cristian P.","https://pbs.twimg.com/profile_images/1922429499892744192/Mo8Q5M7s.jpg","2691399","1","13","87333","1611378","9"
"9","0xak_","ak","https://pbs.twimg.com/profile_images/1905740871909400576/Xp9Dzf84.jpg","4274280","1","13","83377","1572730","10"
"2187","MutantMatt0x","MMatt ??","https://pbs.twimg.com/profile_images/1873019054111268864/WXjvNSqK.jpg","1297058","1","13","80734","950029","11"
"3630","stellarobject1","stellarobject","https://pbs.twimg.com/profile_images/1952704983905775616/2d_NVQpT.jpg","3247881","1","13","75761","1998632","12"
"15172","0xCragHack","CragHack | GoH","https://pbs.twimg.com/profile_images/1956465076631666688/BKQSM4hf.jpg","688367","1","13","72572","597420","13"
"8846","mrseven_1","Mrseven.eth","https://pbs.twimg.com/profile_images/1951543112465272832/2NNSLKzJ.jpg","2235719","1","13","71977","1762013","14"
"1942","huntersolaire_","Hunter Solaire ??","https://pbs.twimg.com/profile_images/1932423437634449408/S-uWTWZ4.jpg","2642101","1","13","71140","1151796","15"
"730","miro_kirov","miroki.eth","https://pbs.twimg.com/profile_images/1957807951319621633/pmOS8hrE.jpg","884764","1","13","66999","661847","16"
"288","thegolden_eel","eel","https://pbs.twimg.com/profile_images/1940508138710409216/XBJ0Jmqu.jpg","1991831","1","13","63897","982149","17"
"1557","CrypSaf","SafZ","https://pbs.twimg.com/profile_images/1683213602013036544/GuQn2-Ig.jpg","3964847","1","13","58237","954540","18"
"5735","casperdefi","Casper ????","https://pbs.twimg.com/profile_images/1923065290771902464/b3AAxVMw.jpg","1563053","1","13","57647","1181887","19"
"14169","ggmxbt","ggmxbt","https://pbs.twimg.com/profile_images/1934939904355840000/Vnzw1mXj.jpg","479526","1","13","57421","435915","20"
"2282","chosta_eth","chosta.eth","https://pbs.twimg.com/profile_images/1828032209992749056/FcDBmabB.jpg","945763","1","13","56583","650056","21"
"6282","OlAndrus6","andrusiak","https://pbs.twimg.com/profile_images/1957437055862009857/2Yb3HD3j.jpg","617397","1","13","54199","448076","22"
"5","yukokosaka","colorblock","https://pbs.twimg.com/profile_images/1969075284671426560/L51FxplT.jpg","3437661","1","13","52975","1071877","23"
"1778","legendarygainz_","Legendary","https://pbs.twimg.com/profile_images/1931964302065356800/uVnG_yqH.jpg","1635728","1","13","52602","295354","24"
"15530","onderyazici","onderyazici","https://pbs.twimg.com/profile_images/1875107800910540800/6k6f2FxA.jpg","498380","1","13","52328","447760","25"
"2697","Denisek45732140","Denise kim","https://pbs.twimg.com/profile_images/1961541275104002049/t6j0Earo.jpg","1856403","1","13","51355","1151958","26"
"19839","Airwaxim","airwaxim | GoH","https://pbs.twimg.com/profile_images/1955368963476504576/NwOafRku.jpg","359603","1","13","50981","340853","27"
"7883","yueya_eth","Yueya.eth????","https://pbs.twimg.com/profile_images/1962185226358300672/yLrZaYq5.jpg","2794194","1","13","50569","1603671","28"
"24280","VovkaTheGreat","Vovka.base","https://pbs.twimg.com/profile_images/1949684335025545216/Rj2xQcKJ.jpg","501203","1","13","50092","473116","29"
"4097","Sk0rpETH","Sk0rp.eth","https://pbs.twimg.com/profile_images/1959006008329527296/hL6HNlL2.jpg","923457","1","13","49700","789659","30"
"1432","PremiumSaltine_","Premium_Saltine","https://pbs.twimg.com/profile_images/1922516577506713600/xBQ4VvrJ.jpg","1939347","1","13","49297","924572","31"
"2031","S4mmyEth","s4mmy","https://pbs.twimg.com/profile_images/1899434260903161856/WJoBQyLi.jpg","3199123","1","13","47367","1182405","32"
"10297","AHS_fansy","AHS | GoH","https://pbs.twimg.com/profile_images/1960620872982536192/07rsJbfI.jpg","372509","1","13","47063","329431","33"
"4290","rickcoindoctor","Rick Coin Doctor","https://pbs.twimg.com/profile_images/1886073768256090112/2DB1Sha9.jpg","560200","1","13","47020","430436","34"
"20","zp_land","ZpLand ??","https://pbs.twimg.com/profile_images/1884955278233251840/jgDwgN-0.jpg","3238233","1","13","46698","1006610","35"
"133","BdgeScott","scottco","https://pbs.twimg.com/profile_images/1957841901123481604/ZKpka0gJ.jpg","1607259","1","13","46639","878777","36"
"4020","JPEG_Yakuza_","JPEG Yakuza","https://pbs.twimg.com/profile_images/1918929674195079168/Xhh1UYq0.jpg","2076158","1","13","46435","1194572","37"
